tweets,id,len,date,source,likes,retweets
"b""RT @ABC: HAPPENING NOW: Paris celebrates the Eiffel Tower's 130th anniversary. https://t.co/u3Ote9jTP7""",1128756289516052482,102,2019-05-15 20:17:25,TweetDeck,0,264
b'RT @jonfortt: Is @SoftBank Spoiling Silicon Valley? | #ForttKnox @MikeIsaac \n\nhttps://t.co/TFlMBqn9hf',1128722560823234560,101,2019-05-15 18:03:23,TweetDeck,0,5
"b""RT @ABC: HAPPENING NOW: Pres. Trump delivers remarks at the 38th National Peace Officers' Memorial Service. https://t.co/wCRLed9yHH""",1128689439830675456,131,2019-05-15 15:51:47,TweetDeck,0,111
b'RT @ABC: HAPPENING NOW: Senate Judiciary Chair Lindsey Graham holds news conference on immigration. https://t.co/llQZ89fVox',1128663817695715330,123,2019-05-15 14:09:58,TweetDeck,0,198
"b'RT @NBCNews: LIVE: Alabama Senate debates bill that would ban nearly all abortions.\n\nIf the bill becomes law, it would be the strictest abo\xe2\x80\xa6'",1128409312768999426,140,2019-05-14 21:18:39,TweetDeck,0,350
"b""RT @NewsHour: WATCH LIVE: Trump set to discuss 'energy infrastructure and economic growth' during visit to Louisiana https://t.co/gMFR22ufbg""",1128379979752976384,140,2019-05-14 19:22:06,TweetDeck,0,6
b'RT @nytimes: The US and China escalated their trade fight on Monday as China detailed plans to retaliate against President Donald Trump\xe2\x80\x99s h\xe2\x80\xa6',1128006346148806657,140,2019-05-13 18:37:24,TweetDeck,0,60
b'RT @jbouie: Chatting about my @nytopinion column on structural reform and the problem of the Senate. Ask me questions! https://t.co/Fq0hLzb\xe2\x80\xa6',1128006265404370948,140,2019-05-13 18:37:05,TweetDeck,0,26
b'RT @Circa: Former Vice President Joe Biden makes his first presidential campaign visit to New Hampshire with a meet and greet in Hampton. h\xe2\x80\xa6',1127977429002260480,140,2019-05-13 16:42:30,TweetDeck,0,11
b'RT @CNBC: WATCH: Dow plunges 650 points after China retaliates with tariff hikes. https://t.co/lCt4Gpgkza',1127977406332112897,105,2019-05-13 16:42:25,TweetDeck,0,73
b'RT @NewsHour: WATCH LIVE: Trump takes part in event celebrating military mothers https://t.co/LwmXDZKNd0',1126947054876614658,104,2019-05-10 20:28:10,Twitter for  iPhone,0,8
