cust_id,gender,marrital,age,home_owner,num_cont,tot_bill,tot_call,tot_bal,fortune,tot_bytes,tot_air,num_out,google_bytes,google_air,yahoo_bytes,yahoo_air
c000001,Male,divorced,49,0,0,134.1308174,53,4973.07,Mass,931.28,3046.9,194,320.52,1270.23,194.04,710.45
c000002,Male,divorced,33,0,1,121.2471651,68,4528.01,LMI,580.62,3549.74,331,491.5,1484.64,32.14,823.42
c000003,Female,divorced,38,0,1,164.1441978,38,5565.09,Affluent,754.07,2996.59,139,283.24,764.69,182.07,718.69
c000004,Female,married,26,1,1,177.3941367,80,5370,Affluent,384.81,2443.78,98,384.81,721.44,145.09,742.61
c000005,Male,single,55,0,2,155.1839192,50,5101.25,Affluent,15.3,2576.98,294,15.3,774.92,15.3,710.88
c000006,Male,divorced,52,1,0,151.0280844,47,4579.31,Affluent,1029.96,2883.85,317,376.99,1035.39,71.77,728.26
c000007,Female,married,38,0,1,137.1802787,60,5755.96,LMI,126.48,2893.02,306,126.48,1009.34,126.48,887.93
c000008,Female,single,54,1,1,137.5290678,54,5735.52,Affluent,1097.79,2667.43,396,366.27,919.81,270.81,793.81
c000009,Female,divorced,41,0,2,184.9610635,93,4402.28,Mass,1172.86,3211.29,279,171.51,1221.01,203.02,868.6
c000010,Male,married,22,0,1,159.6527927,31,4840.33,Affluent,837.66,3515.41,238,256.76,858.79,257.64,749.84
c000011,Male,divorced,24,1,2,152.9660741,40,4818.39,Mass,1229.33,2939.47,362,348.78,925.44,199.91,765.52
c000012,Male,divorced,32,0,1,150.9784408,65,4947.2,Affluent,765.02,3017.53,302,335.66,1023.91,279.34,720.25
c000013,Female,divorced,38,0,1,118.0864675,65,4339.11,LMI,1732.12,3056.93,376,332.92,777.41,195.92,744.67
c000014,Male,single,35,1,1,143.3274879,61,5582.89,LMI,1680.33,3615.19,135,495.99,1011.39,128.3,934.07
c000015,Female,divorced,24,1,0,161.5321905,98,4741.79,Affluent,1894.27,2439.19,74,346.67,1121.42,243.26,939.13
c000016,Male,single,39,1,2,146.2776187,37,4832.28,LMI,509.54,3680.71,272,313.16,1249.84,150.81,791.64
c000017,Male,divorced,34,0,2,147.1884664,50,5336.21,Affluent,1505.67,2782.38,251,263.56,1282.92,233.3,857.54
c000018,Male,married,22,1,1,157.333726,59,4435.65,LMI,1470.22,3221.6,140,257.81,1001.91,272.8,730.69
c000019,Male,married,36,0,1,123.1047926,72,4396.87,Mass,656.08,2502.51,221,148.15,905.84,71.55,970.15
c000020,Female,married,21,1,2,111.0244363,59,4772.73,Mass,825.5,2319.09,293,273.35,864.55,257.41,788.36
c000021,Male,single,34,0,2,148.2076937,63,4723,LMI,327.87,3322.36,222,298.07,1294.32,246.37,862.97
c000022,Male,single,33,0,2,168.8780498,15,5066.89,LMI,1501.96,3127.7,160,309.55,895.38,174.81,853.35
c000023,Male,divorced,44,0,3,137.4745608,32,5143.21,LMI,1657.33,3175.73,173,461.68,1251.22,91.84,733.89
c000024,Female,single,41,0,1,164.0898582,11,4880.77,Affluent,1070.32,3386.77,181,259.09,766.7,225.19,1027
c000025,Female,single,51,0,2,154.1497919,64,5446.52,LMI,1725.61,2766,158,340.19,1281.04,286.6,770.96
c000026,Female,married,41,0,2,146.5865578,29,5387.67,LMI,1684.32,1943.44,126,240.55,1178.28,45.34,638.52
c000027,Male,single,56,1,1,143.7235169,25,4629.63,Affluent,1557.49,3961.51,268,297.99,780.54,351.73,792.1
c000028,Female,married,40,0,2,127.2438074,0,4771.63,LMI,95.34,2998.23,144,26.59,1059.27,8.1,858.59
c000029,Female,divorced,49,1,1,163.4253912,92,4531.96,Affluent,352.19,3205.54,98,352.19,748.17,352.19,933.46
c000030,Female,single,38,0,2,125.6768349,24,5144.32,Affluent,1394.72,2742.77,188,135.99,1104.52,307.37,775.62
c000031,Female,divorced,33,1,2,204.4139968,71,5280.26,Mass,999.87,3083.64,222,299.7,1308.64,258.01,693.74
c000032,Female,married,36,0,1,110.7855107,0,5062.51,LMI,607.48,3550.18,110,420.58,1037.52,239.22,805.97
